Major Name,Requirements
"Communication, B.S. - Communication Studies Subplan/Option: 120 units","Major Required: 30 units,Subplan/Option Required: 18 units,Subplan/Option Electives: 9 units,Unrestricted Electives: 15-24 units"
"Civil Engineering, B.S. - General Civil Engineering Subplan/Option: 126 units","Major Required: 59 units,Subplan/Option Required: 29 units,Subplan/Option Electives: 9 units"
"Civil Engineering, B.S. - Environmental Engineering Subplan/Option: 126 units","Major Required: 59 units,Subplan/Option Required: 23 units,Subplan/Option Electives: 15 units"
"Chemistry, B.S. - General Chemistry Subplan/Option: 120 units","Major Required: 48 units,Subplan/Option Required: 10 units,Subplan/Option Electives: 23 units"
"Chemistry, B.S. - Biochemistry Subplan/Option: 120 units","Major Required: 48 units,Subplan/Option Required: 24-25 units,Subplan/Option Electives: 8-9 units"
"Chemistry, B.S. - American Chemical Society Subplan/Option: 120 units","Major Required: 48 units,Subplan/Option Required: 24 units,Subplan/Option Electives: 7-9 units,Unrestricted Electives: 0-2 units"
"Chemical Engineering, B.S.: 127 units","Major Required: 89 units,Major Electives: 3 units"
"Business Administration, B.S. - Technology and Operations Management Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 6 units,Subplan/Option Electives: 21 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - Marketing Management Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 17 units,Subplan/Option Electives: 13 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - Management and Human Resources Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 9 units,Subplan/Option Electives: 18 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - International Business Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 17 units,Subplan/Option Electives: 10 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - Finance, Real Estate, and Law Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 15 units,Subplan/Option Electives: 12 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - E-Business Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 9 units,Subplan/Option Electives: 18 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - Computer Information Systems Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 12 units,Subplan/Option Electives: 15 units,Personal Computer Proficiency Requirement"
"Business Administration, B.S. - Accounting Subplan/Option: 120 units","Major Required: 51 units,Subplan/Option Required: 21 units,Subplan/Option Electives: 6 units,Personal Computer Proficiency Requirement"
